ParentGlobalID,TotalAbundance,Richness,mayfly_abundance,perennial_PNW_abundance,perennial_PNW_taxa,perennial_PNW_live_abundance,perennial_NC_abundance,perennial_NC_taxa,perennial_NC_live_abundance,EPT_abundance,EPT_taxa,EPT_relabd,EPT_reltaxa,Ephemeroptera_abundance,Plecoptera_abundance,Trichoptera_abundance,Hemiptera_abundance,Coleoptera_abundance,Decapoda_abundance,Odonata_abundance,Basommatophora_abundance,OtherMacro_abundance,GOLD_abundance,GOLD_taxa,OCH_abundance,OCH_taxa,Noninsect_abundance,Noninsect_taxa,Noninsect_relabund,Noninsect_reltaxa,GOLD_relabd,GOLD_reltaxa,OCH_relabd,OCH_reltaxa,GOLDOCH_relabd,GOLDOCH_reltaxa,Crayfish_abundance,Crayfish_taxa,Mollusk_abundance,Mollusk_taxa,Bivalves_NonFG_Abundance,Clam_Fingernail_Abundance,TolRelAbund,TolRelAbundAlt,NonTolTaxa,NonTolTaxaAlt,TolTaxa,TolTaxaAlt
0012c572-66f6-4a69-880b-2e79fbe3bcfd,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,3,0,0,2,1,0.13333333333333333,0.3333333333333333,1,1,0,0,1,1,0,0,0,0,0,0,0.13333333333333333,0.13333333333333333,2,2,1,1
0038adfe-e745-4246-bccc-7321e1908296,52,5,2,0,0,0,2,1,2,2,1,0.038461538461538464,0.2,2,0,0,0,0,0,0,0,50,24,2,0,0,30,3,0.5769230769230769,1.2,0.46153846153846156,0.4,0,0,0.46153846153846156,0.4,0,0,0,0,0,0,0.9615384615384616,0.9615384615384616,1,1,4,4
0052d4cc-b0ed-401e-b602-db445f1a0523,23,12,1,9,4,9,14,7,14,15,6,0.6521739130434783,0.5,1,3,11,0,0,1,2,0,5,4,2,2,2,1,1,0.043478260869565216,0.08333333333333333,0.17391304347826086,0.16666666666666666,0.08695652173913043,0.16666666666666666,0.2608695652173913,0.3333333333333333,1,1,0,0,0,0,0.13043478260869565,0.13043478260869565,11,11,1,1
007f76af-c718-4724-80c5-bc17f5e6ec47,59,11,16,4,2,4,10,3,10,19,3,0.3220338983050847,0.2727272727272727,16,0,3,0,0,1,3,0,36,16,3,3,2,22,4,0.3728813559322034,0.36363636363636365,0.2711864406779661,0.2727272727272727,0.05084745762711865,0.18181818181818182,0.3220338983050847,0.45454545454545453,1,1,0,0,0,0,0.4745762711864407,0.4406779661016949,6,7,5,4
00913f22-8437-4a64-85d3-dee3fd01e401,46,8,0,6,2,6,6,2,6,0,0,0,0,0,0,0,0,15,0,4,6,21,26,4,19,3,13,3,0.2826086956521739,0.375,0.5652173913043478,0.5,0.41304347826086957,0.375,0.9782608695652174,0.875,0,0,6,1,0,0,0.5217391304347826,0.5217391304347826,4,4,4,4
00f081df-240d-4657-8b84-496b17990cc2,9,6,2,4,2,4,8,5,8,7,4,0.7777777777777778,0.6666666666666666,2,0,5,0,0,0,1,1,0,1,1,1,1,1,1,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.3333333333333333,0,0,1,1,0,0,0,0.1111111111111111,6,5,0,1
00f3717a-2bab-4bdf-8f1a-f88dafcf9e27,23,5,0,0,0,0,0,0,0,6,2,0.2608695652173913,0.4,0,6,0,0,0,6,0,0,11,1,1,0,0,16,2,0.6956521739130435,0.4,0.043478260869565216,0.2,0,0,0.043478260869565216,0.2,6,1,0,0,0,0,0.4782608695652174,0.4782608695652174,3,3,2,2
010e4503-d0e3-40f5-960a-3720adaf1ab8,23,6,10,0,0,0,13,2,13,11,2,0.4782608695652174,0.3333333333333333,10,0,1,0,2,0,3,6,1,7,2,5,2,6,1,0.2608695652173913,0.16666666666666666,0.30434782608695654,0.3333333333333333,0.21739130434782608,0.3333333333333333,0.5217391304347826,0.6666666666666666,0,0,6,1,0,0,0.391304347826087,0.2608695652173913,4,5,2,1
012b5bdc-0a37-4b85-8b4a-69471febfac3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
0138634b-f896-4f64-919f-39727692d96d,46,5,0,6,3,6,6,3,6,24,3,0.5217391304347826,0.6,0,2,22,0,2,0,0,0,20,0,0,2,1,20,1,0.43478260869565216,0.4,0,0,0.043478260869565216,0.2,0.043478260869565216,0.2,0,0,0,0,0,0,0.43478260869565216,0.43478260869565216,4,4,1,1
