"","SiteCode","ParentGlobalID","tmean","tmax","tmin","ppt","ppt.m01","ppt.m02","ppt.m03","ppt.m04","ppt.m05","ppt.m06","ppt.m07","ppt.m08","ppt.m09","ppt.m10","ppt.m11","ppt.m12","temp.m01","temp.m02","temp.m03","temp.m04","temp.m05","temp.m06","temp.m07","temp.m08","temp.m09","temp.m10","temp.m11","temp.m12","Elev_m","ColdWetMonths","ColdMonths","WetMonths","SnowDom_PptTemp","MeanSnowPersistence_10","MeanSnowPersistence_05","MeanSnowPersistence_01","SnowDom_SP10","SnowDom_SP05","SnowDom_SP01","CalcTime"
"1","COCB6","5b264730-58b6-46f9-891f-da4d5e254c30",9.53999996185303,17.5499992370605,1.52999997138977,393.559997558594,8.22999954223633,10.4200000762939,39.7799987792969,52.9099998474121,62.9599990844727,57.6100006103516,32.2299995422363,36.3899993896484,32.3199996948242,30.2999992370605,17.8999996185303,12.5100002288818,-1.60000002384186,-0.109999999403954,4.38000011444092,8.52999973297119,13.6899995803833,18.8400001525879,22.3500003814697,21.2099990844727,16.3500003814697,9.72000026702881,3.0699999332428,-1.94000005722046,1520,3,3,12,"Snow-dominated",19.3656520843506,19.6315631866455,17.3546772003174,"Not snow-dominated","Not snow-dominated","Not snow-dominated",2022-02-16 17:18:14
"2","COCB1","6218e33a-fffe-43b1-a00a-e2f516bee80e",10.0799999237061,18.5,1.6599999666214,394.570007324219,11.8900003433228,12.960000038147,41.2200012207031,49.7200012207031,56.3400001525879,44.8300018310547,38.689998626709,37.7799987792969,37.0099983215332,26.8999996185303,20.6399993896484,16.5900001525879,-1.04999995231628,0.400000005960464,4.61999988555908,8.97000026702881,14.2600002288818,19.3999996185303,22.8700008392334,21.8099994659424,17.1000003814697,10.3400001525879,3.48000001907349,-1.26999998092651,1581,2,2,12,"Snow-dominated",22.0501766204834,21.9100036621094,20.3644065856934,"Not snow-dominated","Not snow-dominated","Not snow-dominated",2022-02-16 17:18:14
"3","COCB120","da99fffe-0a2e-4c01-825a-d2461dfd8174",10.3000001907349,18.2299995422363,2.35999989509583,412.850006103516,11.1800003051758,13.3199996948242,40.0499992370605,53.4300003051758,56.9700012207031,51.939998626709,39.2799987792969,50.5200004577637,29,27.4099998474121,24.0200004577637,15.7299995422363,0.209999993443489,1.12000000476837,4.82000017166138,8.77000045776367,13.8999996185303,19.1200008392334,22.7299995422363,21.6100006103516,16.8899993896484,10.3000001907349,4.17999982833862,-0.109999999403954,1689,1,1,12,"Not snow-dominated",22.9238510131836,21.8164691925049,20.470329284668,"Not snow-dominated","Not snow-dominated","Not snow-dominated",2022-02-16 17:18:14
"4","TXSB27","78d0abcf-49b0-460c-b08c-80d95fa7e203",18.2800006866455,25.5400009155273,11.0200004577637,559.859985351562,22.9699993133545,36.3800010681152,39.7299995422363,36.7999992370605,70.5400009155273,69.3300018310547,40.7200012207031,58.5499992370605,63.7700004577637,65.870002746582,30.9500007629395,24.25,7.55999994277954,9.67000007629395,13.8699998855591,18.4899997711182,23.2999992370605,26.6200008392334,28.1100006103516,28.0300006866455,24.1000003814697,18.8999996185303,12.8999996185303,7.8600001335144,596,0,0,12,"Not snow-dominated",0.235342219471931,0.17353829741478,0.226822763681412,"Not snow-dominated","Not snow-dominated","Not snow-dominated",2022-02-16 17:18:14
"5","TXSB26","216a3409-8198-417b-a394-92dcf2eb3f01",18.5400009155273,25.6399993896484,11.4300003051758,558.320007324219,23.2700004577637,36.4900016784668,39.0299987792969,36.7700004577637,73.6100006103516,67.0999984741211,39.7000007629395,56.5699996948242,65.8399963378906,64.4599990844727,31.8199996948242,23.6599998474121,7.84000015258789,9.94999980926514,14.1000003814697,18.7600002288818,23.5200004577637,26.8299999237061,28.2999992370605,28.2099990844727,24.3600006103516,19.2099990844727,13.2399997711182,8.15999984741211,570,0,0,12,"Not snow-dominated",0.509308636188507,0.588225245475769,0.567456245422363,"Not snow-dominated","Not snow-dominated","Not snow-dominated",2022-02-16 17:18:14
"6","OKCB38","95fbecc9-f234-4a80-84bb-2b59daa09c79",12.6000003814697,20.9500007629395,4.23999977111816,420.850006103516,8.19999980926514,9.89000034332275,25.3799991607666,31.4400005340576,54.1399993896484,58.0400009155273,73.7200012207031,70.8600006103516,36.5299987792969,29.1100006103516,13.75,9.78999996185303,0.980000019073486,2.58999991416931,6.82999992370605,11.6999998092651,17.1000003814697,22.2999992370605,25.1700000762939,24.1499996185303,19.8600006103516,13.1300001144409,6.28000020980835,1.04999995231628,1294,0,0,12,"Not snow-dominated",6.85360336303711,6.69268083572388,6.60811042785645,"Not snow-dominated","Not snow-dominated","Not snow-dominated",2022-02-16 17:18:14
"7","OKCB40","043b4d0a-8315-44c9-9e80-814021985024",12.539999961853,20.8899993896484,4.17999982833862,420.220001220703,8.43000030517578,9.77999973297119,25.3199996948242,31.1700000762939,54.4300003051758,59.1399993896484,72.4199981689453,70.370002746582,35.8499984741211,29.4099998474121,13.8800001144409,10.0200004577637,0.949999988079071,2.5699999332428,6.78000020980835,11.6300001144409,17.0300006866455,22.2199993133545,25.0900001525879,24.0900001525879,19.7700004577637,13.0600004196167,6.23000001907349,1.02999997138977,1290,0,0,12,"Not snow-dominated",6.82278347015381,6.48462867736816,6.36418008804321,"Not snow-dominated","Not snow-dominated","Not snow-dominated",2022-02-16 17:18:14
"8","COCB140","1e8e4d6f-ec57-4d36-bcfb-3f1610a3ff5a",11.5699996948242,19.8600006103516,3.26999998092651,422.100006103516,8.56999969482422,10.1400003433228,28.9099998474121,31.2999992370605,54.1300010681152,55.7999992370605,74.5999984741211,70.8899993896484,35.5999984741211,26.9400005340576,15.0200004577637,10.1999998092651,0.509999990463257,1.9099999666214,6.03999996185303,10.5100002288818,15.8599996566772,20.9300003051758,23.7199993133545,22.7600002288818,18.4799995422363,12.0500001907349,5.48999977111816,0.509999990463257,1517,0,0,12,"Not snow-dominated",10.2945261001587,10.2396812438965,10.0878276824951,"Not snow-dominated","Not snow-dominated","Not snow-dominated",2022-02-16 17:18:14
"9","COCB13","33579a32-bf9f-4fa0-bddc-16fdd67539ce",11.6599998474121,20.5,2.80999994277954,364.700012207031,11.9099998474121,13.5500001907349,29.7399997711182,37.1399993896484,50.1800003051758,36.4199981689453,50.0200004577637,55.0400009155273,26.0300006866455,22.4599990844727,19.4099998474121,12.8000001907349,0.28999999165535,1.79999995231628,6.01999998092651,10.5699996948242,15.9099998474121,21.1399993896484,24.1599998474121,23.1200008392334,18.9099998474121,12.289999961853,5.44000005722046,0.209999993443489,1628,0,0,12,"Not snow-dominated",18.8146877288818,19.2104778289795,19.9139289855957,"Not snow-dominated","Not snow-dominated","Not snow-dominated",2022-02-16 17:18:14
"10","COCB143","8258eb82-13b0-48ca-a15d-d075ea345cdb",11.6999998092651,19.9899997711182,3.40000009536743,421.920013427734,8.38000011444092,10.0200004577637,28.6800003051758,31.1800003051758,54.0999984741211,55.9700012207031,74.7300033569336,71.120002746582,35.5800018310547,27.1700000762939,14.9499998092651,10.039999961853,0.629999995231628,2.0699999332428,6.19999980926514,10.6800003051758,15.9799995422363,21.0599994659424,23.8299999237061,22.8700008392334,18.6299991607666,12.1899995803833,5.59999990463257,0.620000004768372,1475,0,0,12,"Not snow-dominated",9.66419696807861,9.75805759429932,8.36089897155762,"Not snow-dominated","Not snow-dominated","Not snow-dominated",2022-02-16 17:18:14
